gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,average_score
0,group B,bachelor's degree,1,0,72,72,74,218,72.66666667
0,group C,some college,1,1,69,90,88,247,82.33333333
0,group B,master's degree,1,0,90,95,93,278,92.66666667
1,group A,associate's degree,0,0,47,57,44,148,49.33333333
1,group C,some college,1,0,76,78,75,229,76.33333333
0,group B,associate's degree,1,0,71,83,78,232,77.33333333
0,group B,some college,1,1,88,95,92,275,91.66666667
1,group B,some college,0,0,40,43,39,122,40.66666667
1,group D,high school,0,1,64,64,67,195,65
0,group B,high school,0,0,NaN,60,50,148,49.33333333
1,group C,associate's degree,1,0,58,54,52,164,54.66666667
1,group D,associate's degree,1,0,40,52,43,135,45
0,group B,high school,1,0,65,81,73,219,55
1,group A,some college,1,1,78,72,70,220,73.33333333
0,group A,master's degree,1,0,50,53,58,161,53.66666667
0,group C,some high school,NaN,0,69,75,NaN,222,74
1,group C,high school,1,0,88,89,86,263,87.66666667
0,group B,some high school,0,0,18,32,28,78,26
1,group C,master's degree,0,1,46,42,46,134,44.66666667
0,group C,associate's degree,0,0,54,58,61,173,57.66666667
1,group D,high school,1,0,66,69,63,198,66
0,group B,some college,0,1,65,75,70,210,70
1,group D,some college,1,0,44,54,53,151,50.33333333
0,group C,some high school,1,0,69,73,73,215,71.66666667
1,group D,bachelor's degree,0,1,74,71,NaN,225,75
1,group A,master's degree,0,0,73,74,72,219,73
1,group B,some college,1,0,69,54,55,178,59.33333333
0,group C,bachelor's degree,NaN,0,67,69,75,211,70.33333333
1,group C,high school,1,0,70,70,65,205,68.33333333
0,group D,master's degree,1,0,62,70,75,207,69
0,group D,some college,1,0,69,74,74,217,72.33333333
0,group B,some college,1,0,63,65,61,189,63
0,group E,master's degree,0,0,56,72,65,193,64.33333333
1,group D,some college,1,0,40,42,38,120,40
1,group E,some college,1,0,97,87,82,266,88.66666667
1,group E,associate's degree,1,1,81,81,79,241,80.33333333
0,group D,associate's degree,1,0,74,81,83,238,79.33333333
0,group D,some high school,0,0,50,64,59,173,57.66666667
0,group D,associate's degree,0,1,75,90,88,253,84.33333333
1,group B,associate's degree,0,0,57,56,57,170,56.66666667
1,group C,associate's degree,0,0,55,61,54,170,56.66666667
0,group C,associate's degree,1,0,NaN,73,68,199,66.33333333
0,group B,associate's degree,1,0,53,58,65,176,58.66666667
1,group B,some college,0,1,59,65,66,190,63.33333333
0,group E,associate's degree,0,0,50,56,54,160,53.33333333
1,group B,associate's degree,1,0,65,54,57,176,58.66666667
0,group A,associate's degree,1,1,55,65,62,182,60.66666667
0,group C,high school,1,0,66,71,76,213,71
0,group D,associate's degree,0,1,57,74,76,207,69
1,group C,high school,1,1,82,84,82,248,82.66666667
1,group E,some college,1,0,53,55,48,156,52
1,group E,associate's degree,0,1,77,69,68,214,71.33333333
1,group C,some college,1,0,53,44,42,139,46.33333333
1,group D,high school,1,0,88,78,75,241,80.33333333
0,group C,some high school,0,1,71,84,87,242,80.66666667
0,group C,high school,0,0,33,41,43,117,39
0,group E,associate's degree,1,1,82,85,86,253,84.33333333
1,group D,associate's degree,1,0,52,55,49,156,52
1,group D,some college,1,1,58,59,58,175,58.33333333
0,group C,some high school,0,0,0,17,10,27,9
1,group E,bachelor's degree,0,1,79,74,72,225,75
